organisation,competition,season,grade,round date,round,home team,away team,venue,playing surface,game date,game time,game alias
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  4,13/6/2026,6,Lakers U14 Boys Copper,Carnegie Chargers U14 Boys Greg,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  2,13/6/2026,6,Lakers U14 Boys Crimson,Saints U14 Boys Phoenix,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 12,13/6/2026,6,Lakers U14 Boys Gold,Lakers U14 Boys Indigo,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  9,13/6/2026,6,Lakers U14 Boys Orange,MM U14 Boys Heat,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 11,13/6/2026,6,Lakers U14 Boys Red,Lakers U14 Boys Ruby,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  1,13/6/2026,6,Lakers U14 Boys Silver,JETS U14 Boys Benn,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 14,13/6/2026,6,Lakers U14 Boys Violet,Lakers U14 Boys Sapphire,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  3,13/6/2026,6,Lakers U16 Boys Amber,JETS U16 Boys Peter,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  8,13/6/2026,6,Lakers U16 Boys Bronze,RAPTORS U16 Boys Dat,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 10,13/6/2026,6,Lakers U16 Boys Cobalt,Pack Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  1,13/6/2026,6,Lakers U16 Boys Copper,S.E.T United - Tulip Street Titans,,,13/6/2026,,
